epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,5485.54,0.94853,0.62722,1.07143,0.76825,0.79074,0.78005,0.53195,1.15106,0.8157,1.15246,0.0077824,0.0077824,0.0077824
114,5533.9,0.93406,0.60353,1.05685,0.75532,0.79514,0.79319,0.53949,1.16387,0.8514,1.15636,0.0077626,0.0077626,0.0077626
115,5582.18,0.94256,0.61053,1.06542,0.79088,0.73267,0.76806,0.52176,1.17697,0.89099,1.16907,0.0077428,0.0077428,0.0077428
116,5629.74,0.93218,0.60271,1.05856,0.78378,0.7344,0.78138,0.54454,1.19615,0.89808,1.17729,0.007723,0.007723,0.007723
117,5678.36,0.94629,0.60581,1.06328,0.75181,0.79827,0.79688,0.5487,1.20801,0.93603,1.18863,0.0077032,0.0077032,0.0077032
118,5726.16,0.90953,0.58958,1.05658,0.77366,0.7843,0.79121,0.54621,1.21395,0.96146,1.19403,0.0076834,0.0076834,0.0076834
119,5774.88,0.96343,0.61931,1.06372,0.74101,0.79676,0.79435,0.54036,1.22015,0.99029,1.19831,0.0076636,0.0076636,0.0076636
120,5823.44,0.93199,0.6094,1.05678,0.77802,0.78719,0.78356,0.53385,1.21408,1.02262,1.19262,0.0076438,0.0076438,0.0076438
121,5871.68,0.92773,0.60978,1.05243,0.75232,0.79917,0.78612,0.53852,1.20842,1.00679,1.1873,0.007624,0.007624,0.007624
122,5919.38,0.93047,0.59278,1.04649,0.74616,0.79759,0.78296,0.53855,1.20107,1.01309,1.18233,0.0076042,0.0076042,0.0076042
123,5967.4,0.91223,0.59559,1.04635,0.74009,0.79596,0.78542,0.53904,1.18884,1.01023,1.17451,0.0075844,0.0075844,0.0075844
124,6015.99,0.92062,0.58921,1.05496,0.77671,0.75157,0.78295,0.53107,1.19352,1.01596,1.18269,0.0075646,0.0075646,0.0075646
125,6064.3,0.92435,0.58719,1.03507,0.76523,0.79675,0.77649,0.52666,1.1863,1.00681,1.17269,0.0075448,0.0075448,0.0075448
126,6112.89,0.91211,0.60548,1.04637,0.77321,0.79113,0.77737,0.53479,1.18902,1.0483,1.17199,0.007525,0.007525,0.007525
127,6161.48,0.92342,0.58606,1.04724,0.7649,0.79792,0.77526,0.53608,1.18462,1.04195,1.16746,0.0075052,0.0075052,0.0075052
128,6209.58,0.91543,0.58666,1.04942,0.73915,0.79935,0.76581,0.52769,1.18095,0.99805,1.16456,0.0074854,0.0074854,0.0074854
